-1,31955
0,56
81,2
84,1
87,1
110,3
130,1
133,3
169,1
179,3
188,1
190,2
198,2
200,3
207,1
209,3
210,1
211,3
215,2
218,1
222,1
223,2
224,4
228,2
237,2
238,5
239,1
240,1
242,1
243,2
244,2
254,2
257,1
258,1
259,1
260,2
261,2
262,2
263,1
264,2
265,3
266,2
267,1
268,2
269,2
270,1
271,5
273,6
274,3
275,7
276,3
277,3
278,3
279,5
280,2
281,2
283,2
284,2
285,2
286,4
287,8
288,10
289,5
290,4
291,11
292,7
293,8
294,1
295,16
296,9
297,15
298,6
299,1
300,4
301,28
302,3
303,3
304,4
305,8
307,8
308,7
309,9
310,13
311,2
312,12
313,10
314,7
315,1
316,4
317,13
318,9
319,2
320,7
321,6
322,6
323,10
324,7
325,10
326,4
328,10
329,3
330,3
331,3
332,5
333,7
334,5
335,6
336,6
337,11
338,5
339,17
340,10
341,10
342,11
343,17
344,20
345,7
346,17
347,2
348,3
349,11
350,4
351,8
352,2
353,4
354,16
355,5
356,2
357,9
358,18
359,2
360,5
361,11
362,10
363,4
364,5
365,3
366,4
367,5
368,6
369,9
370,7
371,8
372,9
373,11
374,16
375,8
376,9
377,15
378,5
379,12
381,6
382,17
383,7
384,6
385,11
386,14
387,7
388,9
389,11
390,12
391,4
392,11
393,10
394,6
395,4
396,5
397,10
398,10
399,8
400,8
401,6
402,11
403,7
404,8
405,11
406,9
407,10
408,9
409,5
410,8
411,1
412,6
413,35
414,9
415,13
416,6
417,10
418,15
419,5
420,11
421,12
422,2
423,12
424,14
425,20
426,13
427,4
428,8
429,11
430,6
431,6
432,11
433,8
434,6
435,2
436,3
437,8
438,5
439,3
440,4
441,6
442,12
443,9
444,17
445,3
446,11
447,5
448,7
449,7
450,6
451,2
452,2
453,6
454,6
455,8
456,5
457,7
458,12
459,3
460,11
461,4
462,8
463,4
464,10
465,10
466,6
467,4
468,17
469,5
470,16
471,7
472,3
473,11
474,8
475,12
476,11
477,5
478,7
479,4
480,12
481,4
482,11
483,3
484,4
485,3
486,2
487,8
488,9
489,4
490,7
491,2
493,6
494,5
495,5
496,2
497,1
498,3
499,6
500,9
501,3
502,1
503,6
504,8
505,2
506,6
507,6
508,2
511,1
512,1
513,2
514,2
515,3
516,1
517,10
518,9
519,1
520,6
521,26
523,3
524,1
525,2
526,3
527,3
528,1
529,3
531,2
532,6
533,1
534,3
538,6
539,2
541,1
542,1
546,1
548,3
549,2
551,5
552,1
554,10
556,2
557,7
558,4
559,2
560,5
561,1
562,5
563,1
564,5
565,4
566,2
567,1
568,1
569,5
570,4
571,6
572,2
574,2
576,5
577,1
578,4
579,1
580,6
581,9
582,2
584,2
586,2
587,2
588,5
592,9
595,2
596,3
599,1
600,1
601,9
602,2
604,6
605,2
606,2
607,2
608,3
609,3
610,2
611,4
612,4
613,5
614,2
615,8
617,2
618,2
619,1
620,5
621,16
622,8
623,3
625,3
626,4
627,1
628,3
630,4
633,2
634,4
636,1
637,6
638,4
639,3
641,1
643,1
645,3
646,3
647,2
650,2
664,1
668,1
669,2
671,4
675,6
676,2
677,2
679,2
680,2
684,2
686,2
688,2
692,3
696,2
697,2
710,4
717,1
720,4
723,1
731,2
742,2
747,4
763,2
790,1
801,1
847,2
